size of corpus: 1004

filename	report	source:
J08-1001	 	*
W06-1608	 	*
P09-1027	 	*
C00-1072	 	*
P99-1035	 	*
P99-1032	 	*
P97-1023	 	*
E09-1090	 	*
W03-0301	 	*
N04-3012	 	*
P05-1044	 	*
P02-1060	 	*
P07-1099	 	*
P07-1098	 	*
P05-1049	 	*
W03-0305	 	*
W04-2610	 	*
P05-1046	 	*
P05-1045	 	*
P07-1094	 	*
P07-1096	 	*
A88-1019	 	*
W06-1615	 	*
C00-1085	 	*
W06-1610	 	*
P99-1023	 	*
C10-2100	 	*
P05-1053	 	*
P02-1053	 	*
P91-1006	 	*
P91-1007	 	*
P07-1089	 	*
P07-1088	 	*
P91-1005	 	*
P05-1059	 	*
P07-1084	 	*
D10-1125	 	*
E09-1077	 	*
W06-1627	 	*
D10-1121	 	*
D10-1120	 	*
P09-1042	 	*
P99-1010	 	*
P97-1041	 	*
C00-1056	 	*
P99-1004	 	*
W10-2608	 	*
P05-1020	 	*
W07-1004	 	*
P99-1008	 	*
J95-4002	 	*
P05-1022	 	*
J95-4004	 	*
P09-1040	 	*
W03-0320	 	*
P91-1019	 	*
C08-1031	 	*
W06-1639	 	*
W04-2401	 	*
P09-1054	 	*
W04-2406	 	*
C00-1067	 	*
P09-1059	 	*
P09-1056	 	*
P99-1001	 	*
W04-2609	 	*
P91-1022	 	*
P91-1023	 	*
P05-1033	 	*
P10-1001	 	*
P05-1037	 	*
P05-1036	 	*
J05-3003	 	*
P05-1034	 	*
C08-1022	 	*
P05-1039	 	*
N06-1045	 	*
P96-1041	 	*
P96-1042	 	*
W98-1427	 	*
N03-1019	 	*
W06-1643	 	*
N03-1016	 	*
P04-1075	 	*
N03-1017	 	*
W97-0109	 	*
W06-1642	 	*
P02-1018	 	*
J95-2001	 	*
J95-2003	 	*
D10-1102	 	*
N06-1041	 	*
D08-1106	 	*
D10-1106	 	*
W10-0406	 	*
P03-2012	 	*
N03-1024	 	*
P02-1022	 	*
J91-4003	 	*
N03-1023	 	*
N03-1028	 	*
W06-1656	 	*
P04-1085	 	*
N06-1033	 	*
N06-1039	 	*
N06-1038	 	*
P02-1006	 	*
W06-1659	 	*
M98-1018	 	*
W08-1005	 	*
N03-1031	 	*
P02-1014	 	*
N03-1033	 	*
P03-2026	 	*
J96-3004	 	*
P96-1027	 	*
P96-1025	 	*
P96-1024	 	*
P02-1039	 	*
W06-1661	 	*
W04-3250	 	*
P09-1006	 	*
N06-1060	 	*
P05-1067	 	*
P02-1041	 	*
W05-1008	 	*
P02-1040	 	*
P02-1043	 	*
P02-1042	 	*
S12-1051	 	*
P02-1045	 	*
P02-1047	 	*
P05-1066	 	*
J96-1002	 	*
N06-1058	 	*
N06-1057	 	*
P03-2041	 	*
E09-1038	 	*
P02-1034	 	*
P05-1072	 	*
P02-1033	 	*
P05-1073	 	*
P02-1032	 	*
P02-1031	 	*
P05-1071	 	*
P97-1005	 	*
H01-1035	 	*
P05-1077	 	*
P02-1036	 	*
P05-1074	 	*
W06-1670	 	*
P97-1003	 	*
P02-1035	 	*
W06-3005	 	*
P07-1019	 	*
W06-2931	 	*
P07-1017	 	*
N09-1073	 	*
P07-1015	 	*
P11-2112	*	
P06-1095	 	*
P07-1011	 	*
P06-1096	 	*
P07-1010	 	*
P00-1022	*	
J92-4003	 	*
W04-0807	 	*
W04-3237	 	*
W04-0813	 	*
P00-1016	 	*
W04-0814	 	*
P00-1017	*	
P04-1035	 	*
P04-1036	 	*
P06-1091	 	*
H05-1091	 	*
J05-1004	 	*
H05-1094	 	*
C00-1007	 	*
W04-3229	 	*
P07-1006	 	*
P11-2125	*	
P11-2124	*	
P11-2123	*	
P10-1060	 	*
P11-2121	*	
P00-1014	*	
W04-3227	 	*
W04-0827	 	*
P11-2119	*	
C96-2163	 	*
P11-2117	*	
P00-1008	 	*
P04-1043	 	*
P96-1019	 	*
J00-4003	 	*
H05-1069	 	*
W04-3219	 	*
P07-1030	 	*
W04-3212	 	*
W97-0323	 	*
W04-3213	 	*
P07-1033	 	*
P07-1032	 	*
W04-0831	 	*
N10-1017	 	*
J02-3004	 	*
P04-1056	 	*
W04-0834	*	
M95-1011	 	*
W04-0838	 	*
W00-1201	*	*
P04-1053	 	*
P04-1054	 	*
W04-3207	 	*
P96-1006	 	*
